Standard Number,Description,Found Title,Link,Download Link,Replacement Title,Replacement Download,Abstract,Is Sponsored
"NZS 3404 Parts 1 and 2:1997","Steel structures standard","NZS 3404 Parts 1 and 2:1997 Current","https://www.standards.govt.nz/shop/NZS-3404-PARTS-1-AND-21997","https://www.standards.govt.nz/product-download/download/461320/0?mediaTypeId=a605dd96-c5a7-48e6-a6ac-2f2008bdbaab&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","NZS 3404 Part 1 is used by structural engineers to design steel structures. It sets out minimum requirements for the design, fabrication, erection and modification of steelwork in structures in accordance with the limit state design method or in accordance with the alternative design method. When read along with Verification Method B1/VM1, it provides a means of complying with the performance requirements of New Zealand Building Code clause B1 Structure. Part 2 is a commentary which provides background to the content of Part 1, and explains how certain requirements originated, how they change previous practice, and how certain clauses apply.","true"
"SNZ TS 3404:2018","Durability requirements for steel structures and components","SNZ TS 3404:2018 Current","https://www.standards.govt.nz/shop/SNZ-TS-34042018","https://www.standards.govt.nz/product-download/download/461368/0?mediaTypeId=3ca16c49-cf36-4d91-90e0-6ff870b43270&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","This technical specification covers the corrosion protection of structural steelwork in the New Zealand environment. Engineers, architects, contractors, specifiers of corrosion protection systems, the surface coating industry, and the owners of steel assets will find it useful. It provides a means of complying with the performance requirements of New Zealand Building Code clause B2 Durability for steel building elements. This technical specification provides an advanced framework for specifying the durability requirements for steel structures and components in atmospheric and in non-atmospheric environments, and will enable durability requirements to be met without over-specification or under-specification of coating systems. The technical specification updates the information contained in section 5 of NZS 3404.1:2009 and is republished as a stand-alone technical specification. It is a simplification of the design procedure for durability determination given in Heavy Engineering and Research Association Report R4-133:2011 New Zealand Steelwork Corrosion and Coatings Guide, and is intended to be used to ensure that structural steelwork is sufficiently durable to meet the requirements of the NZ Building Code Clause B2, the New Zealand Transport Agency (NZTA) Bridge manual, the NZTA Protective coatings for steel bridges, as well as remain compatible with NZS 3404:1997. The technical specification should be used together with AS/NZS 2312.1:2014 and AS/NZS 2312.2:2014. As the fabrication and erection provisions of NZS 3404 are in the process of being superseded by AS/NZS 5131:2016 and AS/NZS 5100.6:2017, the technical specification is also written to be compatible with those documents.","true"
"NZS 3501:1976","Specification for copper tubes for water, gas, and sanitation","NZS 3501:1976 Current","https://www.standards.govt.nz/shop/NZS-35011976","https://www.standards.govt.nz/product-download/download/461554/0?mediaTypeId=43a4dda2-45b5-4814-bb57-5d114069b6c6&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Specifies chemical composition, mechanical properties and dimensions for tubes of 10 to 300 mm nominal bore. Dimensionally compatible with superseded Imperial range.","true"
"NZS 3602:2003","Timber and wood-based products for use in building","NZS 3602:2003 Current","https://www.standards.govt.nz/shop/NZS-36022003","https://www.standards.govt.nz/product-download/download/461884/0?mediaTypeId=81e01175-a266-4e06-8704-3526dd2a0a37&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","This Standard gives the requirements for timber and wood-based products for particular uses in building so that they can be expected to give acceptable performance during the life of the building. To that end this Standard covers the materials themselves and aspects of design and construction that are relevant to their performance in use.","true"
"NZS 3604:2011","Timber-framed buildings","NZS 3604:2011 Current","https://www.standards.govt.nz/shop/NZS-36042011","https://www.standards.govt.nz/product-download/download/461950/0?mediaTypeId=4af995f7-f243-48a1-aec8-6016b05da360&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","NZS 3604 is New Zealand’s most sought-after standard. It provides methods and details that are used to design many NZ timber-framed houses and small buildings, including many residential decks. Builders, architects, engineers, designers and students will find it useful. NZS 3604 can be used for timber-framed buildings with one, two or certain configurations of three storeys. It provides a way of complying with the New Zealand Building Code requirements for the structure of those buildings, including their foundations, framing layout, member sizes, bracing systems, fixings and connectors when read along with the Acceptable Solution B1/AS1.","true"
"NZS 3605:2001","Timber piles and poles for use in building","NZS 3605:2001 Current","https://www.standards.govt.nz/shop/nzs-36052001","https://www.standards.govt.nz/product-download/download/558956/0?mediaTypeId=a20ebf35-b3ff-4c77-b7a2-cb3be24c48e0&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Sets performance criteria and provides a means of compliance for timber house piles references in NZS 3604 and for naturally round timber piles and poles to meet design data assigned in NZS 3603.","true"
"NZS 3617:1979","Specification for profiles of weatherboards, fascia boards, and flooring","NZS 3617:1979 Current","https://www.standards.govt.nz/shop/NZS-36171979","https://www.standards.govt.nz/product-download/download/462028/0?mediaTypeId=ebdbc5ca-98f4-43dd-bfda-69b0f9e06c3b&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Establishes the dressed dimensions and the moisture content at the time of machining for weatherboards, fascia boards, and strip flooring.","true"
"NZS 3622:2004","Verification of timber properties","NZS 3622:2004 Current","https://www.standards.govt.nz/shop/NZS-36222004","https://www.standards.govt.nz/product-download/download/462061/0?mediaTypeId=312e8e13-9e30-44fb-a0de-1e30625acc62&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","This Standard describes procedures for the initial evaluation and daily quality control requirements necessary to ensure that timber has the structural properties claimed for it. The procedures apply both to timber that is visually and machine stress graded.","true"
"NZS 3631:1988","New Zealand timber grading rules","NZS 3631:1988 Current","https://www.standards.govt.nz/shop/NZS-36311988","https://www.standards.govt.nz/product-download/download/462148/0?mediaTypeId=a9201351-86da-4618-bd68-ecd5d13f5619&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Establishes visual grading rules for the selection of timber into quality classes. Four types of grades have been specified. Provision has also been made for new crop radiata pine.","true"
"NZS 3640:2003","Chemical preservation of round and sawn timber","NZS 3640:2003 Current","https://www.standards.govt.nz/shop/NZS-36402003","https://www.standards.govt.nz/product-download/download/462160/0?mediaTypeId=d2a7cc4a-db73-41b6-b57a-88afec7def23&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Sets out requirements for the preservative treatment and identification of timber to provide protection from decay and insect attack including marine borers in all likely exposure conditions throughout New Zealand, based on six hazard classes that are described in this Standard.","true"
"NZS 3902:2004","Housing, alterations and small buildings contract","NZS 3902:2004 Current","https://www.standards.govt.nz/shop/NZS-39022004","https://www.standards.govt.nz/product-download/download/462826/0?mediaTypeId=f8084a79-83cb-4550-aef5-15eaf1ac6548&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","NZS 3902 provides a standard form of building contract suitable for owners who are making their own building arrangements. This standard will help comply with the Building Amendment Act 2013 and make the building contract process smoother and easier for homeowner and builder. If you’re a homeowner doing building or renovating that will cost $30,000 or more (including GST), you must have a written contract with your building contractor. Even if the work costs less than $30,000, it’s a good idea to always have a written contract so that you are legally protected and know what you’re paying for. This is a 'plain English' standard building contract, for use between property owners and the contractors who will build their house or undertake alterations or other building work of a simple nature. It sets out the rights and responsibilities for all parties, and is intended to be fair and easily understood. NZS 3902 contains an electronic Microsoft Word form that can be filled in by all parties to the contract. The form cannot be used on its own and must be used with the full standard. Guidance on NZS 3902 and the electronic form.","true"
"NZS 4121:2001","Design for access and mobility – Buildings and associated facilities","NZS 4121:2001 Current","https://www.standards.govt.nz/shop/NZS-41212001","https://www.standards.govt.nz/product-download/download/446293/0?mediaTypeId=d7c16cf7-a6f1-4466-beee-3553f9c44627&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","This standard provides well-integrated and workable solutions for designing buildings and facilities that can be accessed and used by people with disabilities. It provides a way of complying with the New Zealand Building Code performance criteria for providing access and facilities for persons with disabilities.","true"
"NZS 4206:1992","Concrete interlocking roofing tiles","NZS 4206:1992 Current","https://www.standards.govt.nz/shop/NZS-42061992","https://www.standards.govt.nz/product-download/download/446866/0?mediaTypeId=72f45e62-dee6-4627-ba40-c6d711f723f9&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Specifies requirements for concrete interlocking roofing tiles of a general type and for their associated accessory tiles. Establishes minimum standards for fit and finish, for quality of materials used in manufacture and for dimensional requirements related to side lap and location of fixings, without restricting overall design or size of tiles and accessories. Also specifies requirements for laying and fixing to specified timber battens.","true"
"NZS 4210:2001","Masonry construction – Materials and workmanship","NZS 4210:2001 Current","https://www.standards.govt.nz/shop/NZS-42102001","https://www.standards.govt.nz/product-download/download/446902/0?mediaTypeId=617010ba-37bf-4a7c-b30f-07534ec9efdc&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Sets out the requirements for the materials and workmanship of clay, concrete and natural stone masonry to be used in conjunction with NZS 3604, NZS 4229 and NZS 4230 for the construction of masonry buildings and masonry veneers.","true"
"SNZ TS 4211:2022","Classification for the performance of windows","SNZ TS 4211:2022 Current","https://www.standards.govt.nz/shop/SNZ-TS-42112022","https://www.standards.govt.nz/product-download/download/503810/0?mediaTypeId=9a995a6a-192f-ed11-9db1-000d3a6ad6e6&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Objective of this technical specification is to provide a methodology for classifying windows and exterior doors in accordance with their suitability for various design and building situations. It is intended for use by window suppliers, manufacturers, and designers. It establishes a basis for decisions about the likely performance of windows relative to their exposure, and for demonstrating compliance with the minimum requirements of the New Zealand Building Code. SNZ TS 4211 is for use with discrete window and door units to be installed within the walls of buildings. Changes to the title, layout, and emphasis of the document reflect its role in providing a classification system for windows used in New Zealand buildings. This classification system ensures that appropriate windows can be manufactured and selected for the situations in which they will be used. This specification excludes the installation details at the window perimeter and excludes building facades and curtain walls. In addition, this specification does not cover durability, thermal, acoustic, or fire-rating performance requirements for windows.","true"
"NZS 4214:2006","Methods of determining the total thermal resistance of parts of buildings","NZS 4214:2006 Current","https://www.standards.govt.nz/shop/NZS-42142006","https://www.standards.govt.nz/product-download/download/446950/0?mediaTypeId=6a6f76fd-710a-4d4f-a77a-a3b4fa2b79c9&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Provides methods of determining the thermal resistance of building components and elements consisting of thermally homogeneous layers, in steady-state environmental conditions.","true"
"NZS 4217:1980","Pressed metal tile roofs","NZS 4217:1980 Current","https://www.standards.govt.nz/shop/NZS-42171980","https://www.standards.govt.nz/product-download/download/446959/0?mediaTypeId=e7b9034e-fb02-49de-b3bf-376fb7846336&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Defines the quality of the material used in the manufacture of pressed metal roofing tiles and accessories. Applies only to the roofing and re-roofing of buildings less than 10 m high and not subject to specific design. Describes a suitable means of fixing metal roofing tiles on new or existing structures.","true"
"NZS 4218:2004","Energy efficiency – Small building envelope","NZS 4218:2004 Superseded","https://www.standards.govt.nz/shop/NZS-42182004","https://www.standards.govt.nz/product-download/download/446971/0?mediaTypeId=29f14d39-621f-4a99-9b64-22da50e4269f&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","Thermal insulation - Housing and small buildings","https://www.standards.govt.nz/product-download/download/446974/0?mediaTypeId=1d6ec735-f9fb-40cb-aa8d-f2d06603bf53&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","Provides details and guidance to meet adequate energy efficiency performance requirements for the building envelope of housing and small buildings. Incorporates glazing into the schedule and calculation methods of compliance with the required performance and focuses on excessive heat-loss through the area of glazing. It also brings the window R-values into line with Window Efficiency Rating Scheme (WERS) and adds an Appendix on glazing performance. It focuses on areas of glazing above 30% of the total wall area as these significantly affect thermal efficiency of the envelope.","true"
"NZS 4218:2009","Thermal insulation – Housing and small buildings","NZS 4218:2009 Current","https://www.standards.govt.nz/shop/NZS-42182009","https://www.standards.govt.nz/product-download/download/446974/0?mediaTypeId=1d6ec735-f9fb-40cb-aa8d-f2d06603bf53&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Specifies the thermal insulation requirements for housing and small buildings. It provides three methods for demonstrating compliance with the New Zealand Building Code: Schedule, Calculation and Modelling methods. It guides the achievement of minimum thermal resistance through balancing solar gains from glazing, insulation, and thermal mass, in order to significantly reduce the energy requirements to heat and cool buildings. Insulating your home is the most effective thing you can do to keep it warm, save energy and money. If you are looking to build or renovate, you need to make sure any new work complies with the insulation requirements set out in the Building Code. It is often worth spending a little extra and exceeding the minimum Building Code requirements to make your home as warm and comfortable as possible. This standard helps establish the levels of thermal insulation for houses and small buildings. Note that the Fifth Editions of Acceptable Solution H1/AS1 and Verification Method H1/VM1 have replaced previous editions effective 29 November 2021. The latest edition no longer cites this standard. During the transition period the Fourth Edition Amendment 4 of Acceptable Solution H1/AS1 and Verification Method H1/VM1 can still be used for building consent applications submitted before 3 November 2022. For further information please contact the Building regulator. Please note that this standard remains cited in residential Tenancies ( Healthy Homes Standards) Regulations 2019.","true"
"NZS 4219:2009","Seismic performance of engineering systems in buildings","NZS 4219:2009 Current","https://www.standards.govt.nz/shop/NZS-42192009","https://www.standards.govt.nz/product-download/download/446989/0?mediaTypeId=6ea4c266-7f8a-46fb-9293-cc3eadac2b04&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","","","Sets out the criteria for the seismic performance of engineering systems related to a building's function. This standard will be particularly useful for sub-trade work in multi-storey apartment and commercial buildings. It covers the design, construction and installation of seismic restraints for engineering systems such as air-handling units, tanks, cabinets, pipework and ductwork. To demonstrate compliance with the New Zealand Building Code’s earthquake resistance requirements, it must be read along with Verification Method B1/VM1. Buildings with importance level 5, large mass items, structures external to the building, lifts, building contents, and fire sprinkler systems are excluded from this Standard.","true"
"NZS 4223 Parts 1 and 2:1985","Code of practice for glazing in buildings – Code of practice for glazing in buildings","NZS 4223 Parts 1 and 2:1985 Superseded","https://www.standards.govt.nz/shop/NZS-4223-PARTS-1-AND-21985","https://www.standards.govt.nz/product-download/download/447025/0?mediaTypeId=3a86ea8e-8954-4311-b2a8-3dddd81bb5a5&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","Code of practice for glazing in buildings - Glass selection and glazing","https://www.standards.govt.nz/product-download/download/447037/0?mediaTypeId=26b1f327-7bc2-4c8f-aab8-7f9343b4164a&formatId=1bd170ba-2514-eb11-a812-000d3a6aa268&intlStandard=","Lays down requirements and recommendations for the selection of glass for buildings, paying particular attention to loading, thermal control, and human impact safety as well as general design principles. Also provides a method for the installation of glass in buildings. Not intended to apply to non-inhabitable buildings for horticultural use. Part 1 covers design and installation considerations for the general situation and deals with safety requirements. Part 2 , which is superseded by AS/NZS 4666:2000, relates specifically to sealed insulating glass units.","true"
